"TCGA.24.1553.01A"	"TCGA.24.1422.01A"	"TCGA.36.1569.01A"	"TCGA.36.1581.01A"	"TCGA.24.1603.01A"	"TCGA.29.1710.01A"	"TCGA.29.1688.01A"	"TCGA.24.1467.01A"	"TCGA.24.1923.01A"	"TCGA.24.2027.01A"	"TCGA.24.1550.01A"	"TCGA.24.1557.01A"	"TCGA.24.1563.01A"	"TCGA.24.1104.01A"	"TCGA.61.1724.01A"	"TCGA.24.1464.01A"	"TCGA.29.2427.01A"	"TCGA.25.1318.01A"	"TCGA.29.1766.01A"	"TCGA.13.1483.01A"	"TCGA.25.1312.01A"	"TCGA.24.1105.01A"	"TCGA.13.1410.01A"	"TCGA.13.1488.01A"	"TCGA.24.2023.01A"	"TCGA.13.1507.01A"	"TCGA.29.1770.01A"	"TCGA.29.1776.01A"	"TCGA.29.1693.01A"	"TCGA.29.1769.01A"	"TCGA.24.1544.01A"	"TCGA.24.1428.01A"	"TCGA.24.2020.01A"	"TCGA.30.1891.01A"	"TCGA.25.2409.01A"	"TCGA.25.1329.01A"	"TCGA.24.1430.01A"	"TCGA.61.1911.01A"	"TCGA.30.1866.01A"	"TCGA.24.2298.01A"	"TCGA.25.1628.01A"	"TCGA.13.1489.01A"	"TCGA.29.1774.01A"	"TCGA.61.1910.01A"	"TCGA.23.1123.01A"	"TCGA.61.1914.01A"	"TCGA.25.2399.01A"	"TCGA.24.1431.01A"	"TCGA.29.1762.01A"	"TCGA.24.1565.01A"	"TCGA.24.1416.01A"	"TCGA.29.1696.01A"	"TCGA.61.1907.01A"	"TCGA.25.1316.01A"	"TCGA.24.2261.01A"	"TCGA.61.1995.01A"	"TCGA.25.1630.01A"	"TCGA.24.1558.01A"	"TCGA.13.2060.01A"	"TCGA.09.2056.01A"	"TCGA.24.1604.01A"	"TCGA.24.2290.01A"	"TCGA.29.1705.01A"	"TCGA.29.1711.01A"	"TCGA.36.1570.01A"	"TCGA.25.1323.01A"	"TCGA.59.2348.01A"	"TCGA.25.1623.01A"	"TCGA.25.1631.01A"	"TCGA.24.2033.01A"	"TCGA.24.1103.01A"	"TCGA.25.1322.01A"	"TCGA.13.1499.01A"	"TCGA.36.1580.01A"	"TCGA.61.1741.01A"	"TCGA.36.1577.01A"	"TCGA.25.1320.01A"	"TCGA.13.1497.01A"	"TCGA.61.1919.01A"	"TCGA.24.1552.01A"	"TCGA.24.1562.01A"	"TCGA.25.1321.01A"	"TCGA.25.2396.01A"	"TCGA.24.1474.01A"	"TCGA.59.2352.01A"	"TCGA.29.1785.01A"	"TCGA.61.1918.01A"	"TCGA.25.1313.01A"	"TCGA.23.1122.01A"	"TCGA.25.1635.01A"	"TCGA.25.1319.01A"	"TCGA.24.1435.01A"	"TCGA.13.1511.01A"	"TCGA.13.1492.01A"	"TCGA.25.2404.01A"	"TCGA.24.2288.01A"	"TCGA.24.2267.01A"	"TCGA.29.1768.01A"	"TCGA.13.1404.01A"	"TCGA.25.2400.01A"	"TCGA.36.1571.01A"	"TCGA.24.2289.01A"	"TCGA.29.1697.01A"	"TCGA.59.2351.01A"	"TCGA.24.1551.01A"	"TCGA.61.1900.01A"	"TCGA.13.1485.01A"	"TCGA.29.1763.01A"	"TCGA.36.1576.01A"	"TCGA.61.2008.01A"	"TCGA.29.2414.01A"	"TCGA.29.1690.01A"	"TCGA.24.2024.01A"	"TCGA.61.2088.01A"	"TCGA.29.1777.01A"	"TCGA.13.1501.01A"	"TCGA.13.1495.01A"	"TCGA.13.1487.01A"	"TCGA.13.1409.01A"
"CAPN5"	0.4585	-0.703	-0.351	-1.33	-0.176	-0.077	-1.2325	0.0674	0.527	1.07	-0.181	1.066	0.627	-0.00494	-0.744	-0.268	0.221	0.391	-0.094	0.0328	0.381	0.198	-0.252	0.207	-0.366	-0.472	0.1393	0.73	0.7175	0.012	0.0639	-0.864	0.982	-0.153	0.1543	-0.108	0.186	0.658	-0.0326	0.22	0.0533	0.4845	0.422	0.14	0.222	1.3	-0.678	-1.139	0.2865	0.1387	-0.006	0.645	0.06795	-0.0534	-0.328	-0.649	0.461	0.515	-0.849	0.952	-0.147	-0.05455	-0.562	-0.45	-0.315	0.0894	0.896	-0.2685	1.007	0.688	1.4005	1.261	0.0236	0.68	0.01243	-0.759	-1.02	0.235	0.386	-0.34	-0.778	0.208	-0.037	-0.337	0.679	0.307	-0.232	0.847	-0.197	0.387	1.05	-0.08255	0.655	-0.055	0.3145	-0.686	-0.862	-0.487	-0.242	-0.689	0.37	-0.065	-0.0445	0.402	-0.225	-0.391	0.1554	0.2503	-0.129	0.4705	-0.455	0.674	0.404	0.876	-0.428	0.701	-0.0802	-0.12	0.604
"PLD3"	-0.48215	0.0027	-0.4823	-0.186	-0.771	-0.2593	-0.76765	-0.223	0.104	0.296	1.47	-0.5103	0.195	-0.384	-0.7613	0.1507	0.7007	-0.1443	-0.32476	-0.5443	0.2377	1.16	0.0787	0.11	0.138	0.0907	-0.5723	-0.66	-0.1283	-0.7013	1.1707	0.759	1.76	-0.2408	-0.62715	-0.2123	-0.23665	0.33635	0.156	-0.6233	0.43085	-0.61165	0.665	-0.4343	-0.188	0.497	0.0927	-0.344	0.47835	0.8207	-0.6273	-1.0213	-0.60665	-0.363	0.0637	-0.66265	0.417	-0.6113	-0.364	-0.8553	-0.425	-0.24375	-0.9923	-0.6433	-0.5513	0.3037	-0.5053	0.49735	0.2727	-0.5073	-0.53665	-0.4111	0.691	-0.3812	2.02535	-0.0693	-0.123	-1.2243	-0.33	-0.819	-0.00765	0.0481	0.7607	0.0127	0.5467	0.701	-0.4763	-0.229	-0.2379	0.93	-0.29	-0.54365	-0.4783	0.1767	0.47835	0.124	-0.387	0.10135	-0.1583	-0.567	-0.3074	0.08585	-0.67215	0.1157	-0.391	-0.26	-0.5623	0.99535	0.232	-0.12565	0.244	-0.1943	-0.57315	-0.1443	-0.406	-0.31028	0.262	-0.3035	-0.5243
"GCDH"	-0.288	0.169	-0.492	-0.324	-0.0361	-0.457	-0.318	-0.472	-0.247	-0.582	-1.14	-0.0311	-0.398	-0.447	0.794	-0.0979	-0.45	0.662	0.355	-0.825	1.537	-0.503	0.803	-0.563	0.18	-0.192	-0.99	1.23	-0.651	-0.732	0.183	-0.0341	-0.0458	0.438	1.23	0.073	-0.573	0.7135	1.79	0.401	-0.7455	-0.2751	-0.781	0.171	1.61	-0.246	1.467	-0.0257	-0.801	-0.07137	0.652	-1.093	-0.624	-0.76	-0.228	0.1254	-0.456	0.748	0.67	0.122	0.266	-0.032	-1.753	-0.373	0.735	0.957	0.677	-0.61245	0.363	-0.1383	0.266	-0.248	-0.539	0.028	0.23215	-0.894	-0.7	0.657	-0.219	0.317	-0.8705	0.713	2.047	1.207	0.115	-0.658	0.411	-0.514	-0.49	-0.794	0.692	-0.542	-0.338	-0.488	-0.2585	-0.134	-0.0497	-0.498155	0.409	0.177	-0.737	-0.5585	-0.0865	0.0126	-0.637	-0.315	-0.862	-0.3295	-0.514	0.0784	0.0688	-0.754	-0.4405	0.306	-0.235	-0.408	-0.398	-0.048	-0.34
"MRI1"	-0.2323	-0.0938	-0.2446	-0.663	0.221	0.2034	-0.2178	-0.589	-0.203	0.463	-0.393	-0.0603	-0.0901	-0.442	0.9954	0.0242	0.1954	-0.0913	-0.4126	-0.1946	0.3374	-0.652	0.3054	-0.563	0.493	-0.2526	0.0412	-0.41	0.116115	-0.1376	-0.7856	-0.298	-1.26	0.0365	0.3837	0.1154	-0.3908	0.1251	-0.134	0.3524	-0.3198	0.2082	-0.918	0.0613	0.241	-0.0826	0.8294	-0.01959	0.1367	-0.0443	0.3744	-0.02492	-0.1893	-0.171	0.3034	0.011145	0.192	1.6554	-0.6126	0.5834	-0.0407	-0.8693	-0.5666	0.3594	0.8794	-0.02354	1.2254	0.166195	-0.2366	0.2724	-0.2118	-0.2316	-0.166	-0.1996	-0.3341	0.4294	-0.212	0.5814	-0.299	-0.522	0.2792	0.0511	1.2354	0.3434	0.0458	0.503	-0.3306	-0.6716	-0.3136	-0.485	1.47	-0.130565	0.1414	-0.6926	-0.5358	0.0582	0.411	0.1847	0.7504	0.547	-0.3196	-0.9003	0.3442	0.6654	0.134	-0.113	-0.0889	0.04645	-0.437	-0.1012	-0.294	0.0131	-0.23335	0.2764	-0.235	0.2134	0.301	-0.3706	-0.6636
"PLAA"	-0.004175	-0.16295	-0.54495	0.412	-0.0205	-0.11495	0.200525	0.00827	0.0343	0.426	-0.121	0.13915	-0.0988	0.263	0.20905	-0.39095	0.13265	0.09185	0.12845	-0.30595	-0.01365	-0.421	0.05655	0.216	-0.0623	0.35705	-0.07595	0.117	-0.282475	-0.04295	0.70705	0.25	0.258	-0.26295	-0.167975	0.06546	-0.158975	-0.004975	0.00391	0.75905	0.198025	-0.228475	0.027	-0.30295	-0.0422	0.252	-0.03695	0.26905	0.721025	0.12645	0.04115	-0.08095	-0.211825	-0.00288	-0.01055	-0.043475	0.138	0.36205	-0.10895	-0.12695	-0.184	0.023875	-0.87295	0.51005	0.08455	-0.08795	0.44105	0.121375	0.12965	-0.03895	-0.025075	0.53105	0.307	-0.48095	0.779525	0.53905	0.239	0.69005	0.00988	-0.202	0.160775	-0.277	0.61705	0.06224	0.04745	0.109	0.36005	0.12905	0.22105	0.2	0.164	0.156875	0.49905	0.41605	0.037025	0.324	0.0871	-0.139825	-0.03695	0.0317	-0.13095	-0.269475	0.638525	0.14585	0.421	-0.362	-0.40695	0.688525	-0.192	-0.176975	-0.0586	-0.21695	-0.333975	0.49305	0.0816	0.06389	0.585	0.14805	-0.00995
"NDRG2"	0.39393	-1.17464	0.44136	-0.131	0.0995	0.18236	-0.19112	0.13	0.442	-0.151	0.579	0.75736	-1.1	0.35	-0.13364	-0.30804	-0.25652	-0.29764	-0.72564	-1.08564	-0.39264	-0.752	-0.80464	-0.211	-0.792	-1.38264	-0.45064	-0.109	-0.71032	-0.33464	0.48836	-1.62	-0.28	0.06936	-0.04402	-0.30364	-0.31907	0.06663	0.727	0.81736	-0.30982	-0.34832	0.316	-1.28264	-0.581	0.151	-1.04664	-0.63564	0.12718	0.06036	0.46736	-0.68364	-0.05182	0.154	-0.48164	0.03269	-0.156	-0.52464	-1.97264	-0.91664	-0.0537	1.12868	-0.70964	-0.53464	0.01136	0.49736	-0.83464	-1.26132	-0.34964	-0.08664	-0.19338	0.83736	-0.342	-0.94864	-0.05382	0.57736	-0.559	1.25736	-0.645	-1	-0.27837	1.29	0.89736	1.00736	0.84736	-1.62	-0.42264	0.67736	-0.21154	-0.582	0.157	-0.42632	0.88736	0.63436	0.90818	-0.603	-0.23	-0.03832	0.75736	0.702	1.21736	-0.48582	-1.70632	-0.78964	-0.27	1.28	-0.14264	-0.71082	0.485	-0.38827	0.74	-0.05964	-0.39272	0.67736	-0.538	-0.53364	-1.14	-0.33594	0.68836
"RCN2"	-0.223425	-0.19885	0.14515	-0.431	0.0157	-0.89685	-0.468925	-0.111	-0.297	0.31	-0.361	-0.28385	-0.209	-0.775	1.33115	0.05745	-0.25085	-0.53985	0.17255	0.30415	-0.09285	0.346	-0.21285	-0.0874	-0.132	-0.59385	-0.10885	-0.214	-0.242225	-0.13985	0.32115	-0.673	-0.228	-0.37985	0.362075	-0.49985	-0.458925	-0.067125	0.109	-0.08485	0.342575	0.846075	0.463	1.23115	0.127	1.22	-0.11585	-0.49785	0.228275	-0.72885	0.36515	-0.87185	0.614075	0.0836	-0.14485	-0.203925	0.41	0.14435	-0.14085	-0.15785	-0.246	0.077375	0.13195	-0.67285	0.27115	0.05825	-0.28185	0.353575	0.05445	0.28815	0.373075	-0.38085	0.77	0.45715	0.010775	0.19335	-0.752	0.66515	0.399	-1.26	-0.109425	0.161	-0.45685	0.49115	1.28115	0.144	-0.11685	0.53015	0.87115	0.297	0.00765	0.482575	0.23815	0.08415	-0.135425	-0.58	0.0675	-0.230275	0.28015	-0.0484	0.30715	0.335925	0.865575	0.53515	-0.457	0.636	-0.63285	0.606575	-0.175	-0.142675	-0.205	-0.22285	0.006075	0.42215	-0.106	0.00275	0.102	0.05745	-0.48185
"ISYNA1"	0.40685	-0.8226	-0.9186	-0.686	0.312	-1.2436	-0.3221	-1.14	-0.0762	0.309	0.407	0.4644	-0.719	-0.633	-0.6926	-0.3296	-0.6776	-0.6186	-0.3966	0.7224	0.0034	1.34	0.3804	-0.622	-0.77	-0.7416	-0.6726	-0.673	-0.9908	-0.233	0.8764	-0.191	1.73	-0.8196	-0.7228	0.5764	0.07515	0.4812	-0.187	-0.4056	0.0503	0.2667	0.00972	-0.3376	1.52	-0.797	0.7664	0.6124	1.0682	0.0404	1.3264	-0.6286	0.311	-0.522	0.4114	0.9977	-0.317	-0.1095	-0.3266	-1.2336	-0.706	-0.18475	-1.5336	0.2544	0.0314	-0.1706	0.6184	0.3492	-0.4756	1.0764	-0.4368	0.4394	-0.232	-0.1892	1.1332	-0.2936	-0.303	1.2364	-0.0651	0.333	-0.265	0.479	-0.2376	0.4964	-0.7206	-0.921	0.1904	-0.3106	0.6134	-0.544	0.0816	-0.5553	0.4244	0.2264	0.14895	-1.14	-0.0787	-0.1818	0.5314	0.699	-0.0936	-0.9183	0.1387	-0.2336	-0.183	-0.211	-0.4776	-0.5088	-0.429	-0.6163	-0.348	-0.7686	-0.19645	-0.0664	-1.02	0.2844	-1.13	-0.5556	0.5314
"PUS7"	0.1467225	0.025095	-0.606555	0.152	-0.365	-0.331555	-0.0566775	0.543	-0.162	0.366	-0.238	0.188445	-0.414	0.0263	-0.350555	0.215445	-0.681555	-0.253555	-0.194555	0.247445	0.487445	0.266	0.168445	-0.392	0.322	-0.233555	-0.089555	-0.429	-0.3632775	0.049445	0.037945	0.123	0.186	-0.107555	-0.2372775	-0.236555	-0.4332775	-0.4657775	-0.36	-0.235555	0.0214225	0.3672225	0.696	0.530445	0.242	-0.564	0.065645	0.650445	0.2762225	-0.086555	0.000345	0.125845	0.3102225	0.597	0.254445	-0.1042775	-0.12	0.100245	0.045245	0.305445	0.134	0.4692225	0.272445	-0.478555	-0.185555	0.344445	-0.268555	-0.2494775	-0.029355	0.215445	0.2302225	0.337445	-0.543	-0.136555	-0.0591775	-0.263555	-0.0664	0.093045	0.0403	0.107	0.1253225	0.675	-0.044855	0.679445	0.083145	-0.709	-0.322555	-0.019555	-0.196555	-0.306	-0.75	-0.3447775	-0.841555	0.461445	-0.2650825	-0.172	0.0745	-0.2347775	-0.493555	0.452	0.287445	0.0811225	0.2967225	0.504445	-0.131	0.297	0.027795	-0.1337775	-0.231	0.1712225	0.172	-0.086555	0.3017225	-0.083555	-0.274	-0.076555	-0.518	0.065645	-0.045155
"ALDH4A1"	0.061125	0.17925	-0.01787	0.161	0.121	0.35525	-0.153875	0.417	-0.0423	-0.454	-0.0218	-1.09475	-0.626	-0.0823	-0.11075	0.28225	-0.71675	0.69725	0.14525	-0.39775	0.55525	0.278	-0.22575	0.628	-0.0239	-0.36975	-0.51275	-0.647	0.496625	-0.31375	0.54825	0.38	-0.256	0.21125	0.568625	-0.13975	-0.424375	1.019625	0.537	0.46825	-0.407375	-0.052525	-0.657	0.57625	0.0714	-0.0812	0.46525	0.73825	-0.763375	-0.29975	0.15425	-0.68375	0.160575	1.59	0.59525	0.357625	-0.26	0.46925	-0.53075	-1.05475	-0.211	0.686125	-0.24975	0.25125	0.03835	0.56325	-0.29875	0.162775	0.07045	0.54025	-0.09672	0.58925	-0.103	0.25625	0.503625	0.77125	-0.568	-0.55175	-0.562	-0.329	0.384525	0.537	0.47525	0.13225	-0.42275	-0.18	0.25125	-0.10415	-0.24675	-0.208	0.298	-1.117375	0.46925	0.84125	-0.396875	-0.0285	0.0298	-0.259375	-0.46575	-0.00567	0.75325	0.090625	-0.650375	-0.47475	0.282	0.306	-0.33675	-0.746875	-0.301	-0.552375	-0.511	-0.86675	-1.357375	-0.18575	-0.319	-0.45675	-0.151	0.28425	0.02165
"ALDH9A1"	-0.1672525	-0.045505	0.596495	0.826	0.277	-0.116505	-0.1060025	-0.258	0.466	-0.16	-0.223	0.267495	-0.191	-0.214	0.544495	0.242495	0.216495	0.483495	0.091635	-0.454505	-0.388505	-0.305	0.002895	0.342	-0.65	-0.642505	0.145895	-0.201	0.1291475	0.060895	0.409495	-0.125	-0.462	0.178295	0.2652475	-0.134505	-0.1127525	-0.0750525	0.189	-0.314505	-0.2827525	0.1655475	-0.017	0.277495	0.176	0.0143	-0.147505	0.379495	0.1116025	0.712495	0.321495	0.810495	0.4347475	0.942	-0.102505	-0.1207525	-0.0835	0.366495	-0.477505	0.515495	0.535	-0.1113025	-0.179505	0.272495	-0.596505	-0.092505	0.945495	-0.3105025	0.261495	-0.038505	0.3497475	0.219495	0.0817	0.261495	-1.0232525	-0.066505	-0.136	0.098845	0.0136	-0.166	-0.3502525	-0.084	0.540495	-0.286505	0.094491	0.0558	-0.013505	0.848495	-0.463505	-0.173	0.422	-0.0862525	0.467495	0.946495	0.0572475	0.167	0.158	-0.1040025	-0.288505	0.48	0.295495	-0.3087525	0.6762475	0.076295	0.303	0.409	0.207495	0.2212475	-0.0819	0.5382475	-0.545	0.101635	0.8137475	0.385495	-0.25	-0.188505	-0.216	-0.012505	1.173495
"RAB6A"	0.11885	0.1422	-0.1352	-0.129	0.385	-0.2562	0.0400385	-0.204	-0.182	0.535	0.261	0.5968	0.256	0.196	0.4718	-0.0182	0.2458	0.1809	-0.1782	0.1859	0.3998	0.171	0.0383	0.0997	0.125	0.0178	0.12885	-0.0279	0.2198	0.4658	0.4878	0.679	-0.11	0.3378	-0.3576	-0.2042	0.2684	0.22865	0.149	0.3688	-0.1181	0.1944	-0.186	-0.3892	-0.0179	0.154	0.1576	0.6118	0.2904	-0.2362	0.13375	-0.0302	0.2519	-0.0872	-0.0482	0.0048	-0.0493	0.3748	-0.1022	0.1946	0.416	0.2168	0.032	-0.0802	0.1113	0.0038	0.5678	0.32325	0.0128	0.3268	0.4244	0.2318	0.0335	0.13275	-0.1986	0.1523	-0.153	0.5128	0.114	-0.185	0.09715	0.171	0.0198	0.2708	0.1204	-0.116	0.1565	0.3788	0.2748	0.265	0.342	0.2444	0.6458	0.3788	-0.0446	0.142	-0.209	0.0489	0.1616	-0.241	1.8108	0.3159	0.10735	0.2728	0.108	0.29	-0.2742	0.3104	0.128	0.2284	-0.551	0.1013	-0.011275	0.3718	0.372	0.4688	-0.216	0.3038	-0.2142
"SARS2"	-0.21145	-0.3737	-0.1765	-0.374	-0.0112	-0.4947	-0.53335	-0.0556	-0.106	0.0501	0.117	-0.0117	-0.255	-0.552	-0.5877	0.0103	-0.1809	0.2433	0.3073	-0.7027	1.4303	0.111	-0.5337	-0.341	0.0966	-0.4317	-0.4457	-0.939	-0.45335	-0.5547	1.7203	0.237	-0.226	-0.4587	0.09395	0.0753	-0.44235	-0.31785	1.15	-0.1104	-0.2554	-0.52935	0.146	0.1373	0.0112	-0.157	0.1363	-0.1249	-0.13735	-0.0337	-0.4497	-0.7427	-0.36085	-0.546	0.7003	0.21015	-0.0829	0.9103	-0.1065	-0.6427	-0.261	-0.214	0.1063	-0.9677	0.0843	0.2613	-0.3497	0.17315	0.1093	0.6213	-0.72935	0.0013	-0.141	-0.4357	1.52015	-0.2521	-0.411	-0.5097	-0.226	2.45	0.09325	0.817	0.1013	-0.6307	0.3163	-0.706	-0.2439	-0.1534	-0.4487	1.51	-0.365	-0.43485	-0.4007	-0.2819	0.90865	-0.74	-0.443	-0.52465	-0.6977	-0.652	0.2883	0.68365	-0.37735	0.0493	-0.272	-0.0581	-0.1702	0.22465	-0.208	-0.14945	-0.191	-0.6057	-0.06685	0.0203	-0.653	-0.2155	-0.691	0.0743	-0.2287
"HMOX2"	-0.2191	0.19	-0.273	-0.17	0.352	0.141	-0.0737	0.16	-0.211	-0.665	0.656	0.0864	0.091	-0.148	0.233	0.0566	0.0749	-0.133	-0.0897	0.157	-0.0474	0.602	-0.445	-0.271	-0.232	0.0756	0.196	-0.229	-0.15825	0.209	-0.132	-0.223	-0.893	0.258	0.2005	-0.0948	0.04615	0.080285	0.0628	0.267	0.0045	-0.10665	0.0381	-0.817	-0.433	0.00917	1.969	0.322	-0.159	-0.143	-0.276	-0.044	-0.21	-0.427	0.167	-0.441	-0.211	-0.379	-0.0014	0.0342	-0.0911	-0.035035	0.033	-0.0213	-0.0702	-0.371	-0.116	0.2525	-0.182	0.182	0.147	-0.291	0.058	0.181	-0.166	0.495	-0.192	-0.394	0.0896	0.27	-0.0825	-0.184	-0.165	-0.0385	-0.073	0.219	0.0461	-0.289	-0.185	-0.272	-0.0789	0.276	0.543	0.0437	-0.239	-0.13	-0.0638	0.0355	0.149	1.35	-0.374	0.544	-0.05	-0.344	0.224	0.0485	0.188	-0.14485	-0.0033	-0.3565	0.304	0.0563	0.21765	-0.606	-0.273	0.244	-0.0603	0.277	0.238
"ACAP2"	0.075925	-0.29685	0.03615	0.592	-0.0905	0.19915	-0.139775	0.0552	0.229	0.31	0.148	-0.74685	-0.254	0.178	0.61715	-0.37085	-0.21985	-0.20285	-0.10215	-0.17365	-0.26485	-0.113	0.23615	0.164	0.674	0.26115	-0.46085	-0.0917	0.555075	-0.33885	0.31015	0.00229	-0.433	-0.35685	-0.176525	-0.40185	-0.001775	0.414575	-0.349	0.15915	-0.056575	-0.087925	-0.599	-0.74185	0.331	0.0785	-0.04555	-0.14575	0.071575	-0.12325	-0.19685	-0.25085	-0.523425	-0.443	0.16515	-0.096575	-0.164	0.44315	-0.10315	-0.00875	0.00189	-0.035425	-0.13355	-0.19685	-0.101	0.30815	-0.52985	-0.115625	-0.29585	-0.66085	0.404575	0.03815	-0.0759	-0.13565	0.199575	0.80715	-0.0603	0.10715	-0.307	-0.22	0.306575	0.424	0.02515	-0.14115	0.06015	-0.772	0.81915	-0.13875	0.66915	-0.315	-0.0966	0.271075	0.32615	0.23615	0.106825	-0.112	-0.43	0.203825	-0.24285	0.198	-0.09728	-0.185075	0.771075	-0.24485	0.0374	-0.106	-0.35685	-0.709425	0.0239	0.103225	-0.16	-0.21585	-0.348925	-0.46885	0.0585	-0.32485	0.186	-0.11695	0.26615
"SHMT2"	-0.58735	-0.2377	-0.6667	0.19	0.823	-0.7287	-0.30585	-0.228	-1.01	-0.23	-0.00604	0.2033	-0.672	-1.23	-0.6057	0.0623	-1.0037	-0.2707	-0.0144	-0.3757	0.2753	0.505	-0.8657	-0.7	-0.0021	-0.7517	-0.0388	-0.775	-0.49685	0.1433	1.0363	0.571	-0.228	0.3893	-0.0884	-0.3317	0.60415	-0.74585	-0.17	-0.7857	-0.0782	-0.1394	0.708	0.0733	0.317	0.551	0.3973	-1.4637	0.34915	0.7143	-0.3507	0.4593	0.75515	-0.132	-0.063575	-0.0876	-0.102	-0.4567	-0.0076	-0.0231	-0.816	0.46865	-0.0292	-0.4377	-0.1414	-0.1415	0.0242	-0.15535	0.5003	0.0433	-0.94935	-0.3207	-0.211	0.7063	0.13465	1.6763	-0.589	0.4213	-0.207	0.0486	0.30515	-0.0334	-0.9817	-0.3957	-0.2497	-0.303	-0.5297	-1.2237	-0.5917	0.378	-0.19	-0.68085	-0.5867	0.3803	-0.12685	-0.614	0.35	-1.01735	-0.0029	0.302	0.5843	-0.46735	0.83365	-0.1462	-0.579	0.251	0.0873	-0.04785	-0.2	-0.13875	0.0518	0.1483	-0.0881	0.8803	0.35	-0.4157	-0.166	0.4423	-0.5867
"ACSF2"	-0.045075	-0.22425	-0.11185	-0.16	0.0149	0.22875	-0.305625	-0.615	-0.475	0.0297	-0.198	0.04075	-0.231	0.841	-0.04515	-0.19225	-0.075478	0.80575	-0.43025	0.21175	0.19475	-0.475	-0.24625	-0.18	-0.18	1.24475	-0.23825	-0.0803	0.364875	0.13075	1.19475	-0.306	0.24	-0.13515	1.277375	-0.08115	-0.003411	0.763375	0.836	0.28875	0.176375	-0.072825	0.135	-1.34525	-0.948	0.695	0.05475	0.95475	-0.025625	0.33575	-0.00465	0.14075	-0.357125	-0.372	-0.80425	-0.482125	-0.397	-0.02715	-1.02425	-0.17825	0.165	-0.896625	0.36175	1.82475	-0.51525	0.09975	-0.16825	0.539875	0.70875	0.26475	0.914375	0.08375	-0.325	-0.01935	-0.235625	-0.54925	-0.459	-0.24325	-0.136	-0.0864	-0.420625	-0.231	0.89975	1.14475	0.44775	0.771	-1.13525	-0.89225	-0.82625	0.128	-0.352	-0.261075	-0.23625	0.10475	-0.117475	0.123	1.52	-0.155625	0.93475	0.08	-0.79625	-0.167125	-0.751125	-0.78825	0.322	0.535	0.57875	-0.312125	-0.166	0.598875	-0.289	-0.11385	0.364375	0.09375	-0.404	-0.70625	-0.0247	1.35475	-0.97325
"AHSA1"	-0.57555	-0.5721	-0.2496	-0.143	0.298	-0.5041	0.45595	0.504	-0.0725	0.169	0.287	0.2269	-0.528	-0.433	-0.187388	-0.4001	-0.5581	-0.2341	0.0199	0.1169	-0.3791	0.245	-0.5141	-0.493	0.298	-0.3781	0.0399	0.466	-0.2807	0.1309	-0.3421	0.000114	0.461	-0.3491	0.0141	-0.2981	-0.25615	-0.50155	0.00541	-0.1394	-0.35355	1.06245	0.0399	0.2299	-0.229	-0.31	-0.1582	-0.2317	-0.54455	-0.4901	0.1499	0.0709	0.13595	0.0662	0.0199	0.11045	0.173	0.1479	0.2339	-1.1231	-0.247	0.22045	0.0239	0.1179	0.5459	-0.2307	-0.6411	-0.1248	-0.2602	-0.3011	0.64645	-0.3081	-0.272	-0.3031	-0.69405	0.5139	-0.349	0.4459	0.382	-0.0719	0.02535	-0.217	-0.4511	-0.2809	-0.2238	-0.514	0.0579	-0.188812	-0.2266	-0.287	-0.237	0.0817	0.0779	0.1619	-0.24355	-0.412	-0.315	-0.71505	0.4889	-0.221	-0.2045	-0.34505	0.68995	-0.4301	-0.602	0.368	-0.4241	-0.29255	-0.806	0.00665	-0.101	-0.4361	-0.48655	-0.2254	-0.0213	-0.152	-0.107	-0.4731	-0.1133
"PSMD5"	0.546775	-0.03745	-0.47645	0.384	0.0279	0.16925	0.214775	0.12	0.75	-0.29	-0.177	0.54255	-0.0651	0.441	0.91055	0.21855	0.66355	-0.03345	0.14655	0.60755	-0.03845	-0.631	-0.28545	0.0928	-0.139	0.09115	0.35155	0.381	-0.118325	0.33055	-0.14845	-0.481	0.416	0.45755	-0.411225	0.03025	-0.02715	0.311275	0.0612	0.47155	0.207275	-0.040775	-0.563	-0.84045	0.242	-0.29	-0.06345	0.05725	-0.143725	0.52855	0.12815	0.73255	0.005775	0.262	0.14625	-0.345225	0.171	-0.64145	-0.37545	0.00865	0.0162	0.415775	0.25355	0.43355	-0.18045	-0.38045	0.22855	0.485275	-0.02345	-1.14045	-0.024175	-0.12145	-0.0669	-0.17045	-0.160725	0.79655	0.168	0.28755	-0.133	0.237	0.183775	0.124	-0.01445	0.68955	-0.30645	0.443	0.35255	0.07535	0.22755	0.377	-0.0116	0.2613335	-0.36245	0.19765	0.2422165	0.0472	-0.292	0.302275	0.10071	0.499	-0.33245	-0.006725	-0.183825	0.17105	-0.193	0.00878	0.11235	0.101025	-0.274	0.388275	-0.353	0.23255	-0.139725	0.81855	-0.354	0.18085	-0.155	-0.16145	0.43955
